ID,Latitude,Longitude,Name,Amenity,Shop,Wheelchair,Street,House Number,City,Postcode
26999673,55.7788343,37.6537207,Москва-Пассажирская,,,yes,,,,
31447925,55.7235596,37.3968256,Сетунь,,,yes,,,,
60662591,55.8218994,37.6088672,Телецентр,,,yes,,,,
60767667,55.7292516,37.6113988,,,,yes,,,,
60901994,55.7274394,37.5806574,,,,yes,,,,
61276477,55.7407717,37.6256345,,,,yes,,,,
87702782,55.7045582,37.4815283,Матвеевская,,,yes,,,,
241158259,55.7395085,37.4833717,Филёвский парк,,,yes,,,,
241158281,55.7437316,37.4977370,Багратионовская,,,yes,,,,
241158327,55.7461266,37.5148273,Фили,,,yes,,,,
241158415,55.7388299,37.5484101,Студенческая,,,yes,,,,
244036856,55.7359875,37.4671358,Пионерская,,,yes,,,,
253124200,55.7618096,37.6101609,Юрию Долгорукому,,,yes,,,,
253510386,55.7093206,37.6610213,ВТБ,bank,,yes,Автозаводская улица,6,Москва,
253780238,55.7295963,37.4707878,Славянский бульвар,,,yes,,,,
266862392,55.8114853,37.8373363,Metro,,supermarket,yes,"МКАД, 104-й километр",6,Москва,105523
269224220,55.8197113,37.6413799,Роснефть,fuel,,yes,проспект Мира,142,,